116,-5.376, -1.374
116,-1.9125168339999998, -1.157532302
116,3.093927333, -0.844629542
116,5.686378286, -0.6826013569999999
116,6.032289208, -0.597401408
116,6.352827238, -0.369246418
116,6.568640201, -0.012656824999999983
116,6.624, 0.315451221
116,6.624, 0.436548779
116,6.546019865, 0.823691347
116,6.352827238, 1.1212464180000001
116,6.080410569, 1.3263180700000001
116,5.686378286, 1.434601357
116,3.1308736070000003, 1.5943204
116,-1.827085221, 1.904192826
116,-5.376, 2.126
116,-5.376, -1.374
